Iteration,Position
1,-1
1,0
1,1
1,0
1,1
1,-1
1,1
1,1
1,-1
1,-1
1,0
1,1
1,0
1,1
1,1
1,0
1,-1
1,1
1,0
1,1
1,0
1,-1
1,-1
1,0
1,-1
1,1
1,-1
1,1
1,-1
1,0
1,-1
1,0
1,1
1,-1
1,-1
1,1
1,0
1,1
1,1
1,1
1,0
1,-1
1,1
1,1
1,-1
1,1
1,-1
1,-1
1,0
1,1
1,0
1,-1
1,-1
1,1
1,1
1,0
1,1
1,-1
1,0
1,1
1,1
1,0
1,1
1,1
1,0
1,1
1,0
1,0
1,1
1,0
1,-1
1,0
1,1
1,1
1,-1
1,-1
1,1
1,0
1,-1
1,0
1,0
1,1
1,1
1,0
1,1
1,1
1,-1
1,0
1,1
1,0
1,1
1,0
1,-1
1,0
1,1
1,1
1,-1
1,-1
1,-1
1,-1
2,1
2,2
2,0
2,0
2,0
2,1
2,0
2,0
2,1
2,0
2,2
2,2
2,1
2,1
2,0
2,0
2,2
2,2
2,0
2,2
2,0
2,0
2,1
2,0
2,1
2,1
2,2
2,1
2,0
2,2
2,1
2,1
2,2
2,2
2,2
2,0
2,2
2,2
2,0
2,1
2,0
2,1
2,1
2,2
2,2
2,1
2,0
2,2
2,1
2,0
2,2
2,2
2,1
2,0
2,2
2,1
2,1
2,2
2,2
2,2
2,2
2,2
2,0
2,2
2,2
2,0
2,0
2,1
2,0
2,1
2,2
2,1
2,2
2,2
2,0
2,2
2,0
2,1
2,1
2,1
2,2
2,1
2,1
2,1
2,2
2,1
2,2
2,1
2,1
2,2
2,0
2,0
2,1
2,1
2,1
2,2
2,2
2,1
2,0
2,0
3,3
3,1
3,1
3,1
3,1
3,3
3,1
3,1
3,1
3,1
3,3
3,1
3,3
3,1
3,1
3,2
3,2
3,3
3,3
3,3
3,1
3,3
3,3
3,2
3,2
3,1
3,1
3,1
3,2
3,3
3,1
3,2
3,1
3,2
3,3
3,2
3,1
3,1
3,3
3,2
3,2
3,2
3,3
3,2
3,1
3,2
3,3
3,3
3,1
3,1
3,3
3,2
3,1
3,3
3,3
3,3
3,3
3,1
3,1
3,2
3,2
3,2
3,2
3,2
3,3
3,1
3,1
3,2
3,2
3,3
3,1
3,2
3,3
3,1
3,3
3,1
3,2
3,3
3,3
3,3
3,1
3,2
3,2
3,1
3,1
3,2
3,1
3,1
3,1
3,2
3,3
3,2
3,3
3,1
3,1
3,3
3,2
3,2
3,1
3,1
4,4
4,2
4,4
4,4
4,2
4,4
4,4
4,4
4,3
4,2
4,3
4,4
4,3
4,4
4,2
4,3
4,4
4,2
4,3
4,2
4,4
4,4
4,3
4,4
4,2
4,2
4,4
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,4
4,3
4,2
4,4
4,2
4,4
4,2
4,4
4,3
4,4
4,3
4,4
4,3
4,2
4,2
4,2
4,3
4,2
4,4
4,4
4,2
4,2
4,2
4,2
4,4
4,3
4,3
4,2
4,4
4,4
4,3
4,4
4,2
4,3
4,2
4,4
4,3
4,3
4,4
4,4
4,2
4,2
4,3
4,4
4,3
4,2
4,2
4,4
4,2
4,2
4,2
4,3
4,3
4,2
4,4
4,2
4,4
4,3
4,3
4,4
4,2
4,2
4,4
4,3
4,3
4,4
5,3
5,5
5,3
5,3
5,4
5,4
5,3
5,3
5,4
5,4
5,5
5,4
5,3
5,3
5,3
5,4
5,4
5,4
5,3
5,3
5,3
5,4
5,5
5,3
5,5
5,3
5,5
5,5
5,5
5,4
5,3
5,3
5,3
5,4
5,4
5,5
5,5
5,4
5,3
5,5
5,3
5,5
5,3
5,4
5,3
5,3
5,3
5,3
5,5
5,4
5,3
5,3
5,5
5,3
5,3
5,5
5,3
5,4
5,5
5,3
5,3
5,3
5,4
5,4
5,4
5,5
5,3
5,5
5,3
5,4
5,4
5,4
5,5
5,4
5,3
5,5
5,5
5,3
5,3
5,5
5,4
5,4
5,5
5,4
5,5
5,5
5,4
5,3
5,4
5,4
5,3
5,4
5,5
5,5
5,5
5,4
5,4
5,4
5,3
5,5
6,5
6,6
6,5
6,4
6,5
6,5
6,4
6,5
6,6
6,5
6,4
6,4
6,6
6,6
6,5
6,5
6,6
6,6
6,4
6,5
6,5
6,6
6,5
6,4
6,6
6,5
6,4
6,6
6,5
6,4
6,5
6,6
6,4
6,6
6,4
6,5
6,5
6,4
6,4
6,6
6,6
6,5
6,6
6,6
6,4
6,6
6,5
6,6
6,6
6,6
6,5
6,4
6,6
6,6
6,5
6,5
6,5
6,6
6,5
6,4
6,6
6,4
6,4
6,4
6,4
6,6
6,6
6,6
6,4
6,4
6,5
6,4
6,5
6,6
6,4
6,6
6,5
6,5
6,6
6,5
6,5
6,4
6,6
6,4
6,5
6,5
6,6
6,6
6,5
6,5
6,6
6,5
6,6
6,5
6,6
6,4
6,4
6,6
6,6
6,4
7,5
7,5
7,6
7,7
7,6
7,7
7,7
7,5
7,7
7,5
7,6
7,7
7,6
7,7
7,6
7,7
7,5
7,5
7,5
7,5
7,7
7,7
7,7
7,7
7,5
7,7
7,7
7,5
7,7
7,7
7,7
7,7
7,6
7,5
7,7
7,7
7,7
7,7
7,6
7,7
7,7
7,7
7,7
7,7
7,6
7,6
7,7
7,7
7,6
7,5
7,5
7,6
7,5
7,5
7,5
7,6
7,7
7,5
7,6
7,5
7,5
7,6
7,7
7,6
7,6
7,7
7,6
7,7
7,7
7,5
7,6
7,7
7,7
7,6
7,7
7,6
7,5
7,7
7,6
7,7
7,7
7,7
7,6
7,5
7,7
7,7
7,6
7,5
7,6
7,7
7,5
7,6
7,6
7,7
7,5
7,5
7,5
7,7
7,7
7,7
8,7
8,6
8,6
8,7
8,7
8,8
8,6
8,8
8,6
8,6
8,8
8,8
8,6
8,6
8,8
8,8
8,7
8,8
8,7
8,7
8,8
8,7
8,8
8,7
8,6
8,6
8,6
8,8
8,6
8,6
8,7
8,8
8,7
8,7
8,6
8,6
8,8
8,6
8,8
8,8
8,7
8,8
8,8
8,8
8,7
8,6
8,7
8,8
8,8
8,6
8,8
8,8
8,8
8,7
8,6
8,6
8,7
8,7
8,6
8,8
8,7
8,7
8,6
8,6
8,7
8,6
8,6
8,6
8,8
8,7
8,6
8,7
8,6
8,6
8,7
8,7
8,6
8,8
8,8
8,8
8,7
8,7
8,8
8,7
8,6
8,7
8,8
8,8
8,8
8,8
8,7
8,8
8,7
8,7
8,8
8,6
8,6
8,6
8,7
8,6
9,7
9,7
9,7
9,7
9,8
9,9
9,9
9,9
9,8
9,9
9,8
9,7
9,9
9,9
9,7
9,9
9,7
9,7
9,7
9,8
9,8
9,8
9,8
9,9
9,8
9,8
9,7
9,7
9,9
9,7
9,8
9,9
9,8
9,9
9,7
9,9
9,9
9,9
9,9
9,7
9,9
9,8
9,8
9,8
9,8
9,9
9,8
9,9
9,9
9,8
9,8
9,7
9,7
9,9
9,8
9,9
9,8
9,8
9,8
9,8
9,9
9,7
9,8
9,7
9,9
9,8
9,8
9,9
9,7
9,7
9,7
9,7
9,9
9,8
9,7
9,8
9,8
9,8
9,8
9,9
9,8
9,9
9,7
9,9
9,9
9,8
9,9
9,8
9,7
9,7
9,7
9,7
9,8
9,8
9,9
9,9
9,7
9,8
9,9
9,9
10,10
10,9
10,10
10,8
10,9
10,9
10,10
10,9
10,9
10,10
10,9
10,8
10,10
10,8
10,9
10,9
10,10
10,8
10,9
10,9
10,8
10,9
10,9
10,8
10,9
10,9
10,8
10,8
10,8
10,10
10,8
10,8
10,9
10,9
10,8
10,10
10,10
10,9
10,9
10,8
10,8
10,8
10,8
10,10
10,9
10,9
10,8
10,9
10,10
10,8
10,8
10,8
10,10
10,10
10,9
10,8
10,8
10,10
10,9
10,9
10,9
10,10
10,9
10,10
10,8
10,8
10,10
10,10
10,9
10,10
10,8
10,9
10,10
10,9
10,9
10,9
10,8
10,8
10,7
10,8
10,8
10,9
10,9
10,10
10,8
10,10
10,8
10,8
10,9
10,10
10,9
10,9
10,9
10,9
10,9
10,10
10,9
10,10
10,9
10,10
11,11
11,9
11,10
11,10
11,10
11,11
11,10
11,11
11,9
11,10
11,11
11,9
11,11
11,11
11,9
11,9
11,9
11,10
11,10
11,9
11,10
11,10
11,9
11,11
11,10
11,10
11,11
11,11
11,11
11,9
11,11
11,9
11,9
11,10
11,10
11,11
11,10
11,10
11,10
11,11
11,11
11,10
11,11
11,10
